!  Star 19.3694.19                         RA  05 03 05.024   DEC  -68 40 25.49
#  866 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.817         1577.80,   64.02             32
#    Blue:            -8.462         1552.02,   75.59             80
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.7794      298    West         300       0x101bf       1.5065           -9.099  0.005    0   1  24 137   0   0   5    -99    -99 10361  6.441   3160 1  -8.845  0.006    0   1  22 120   0   0  11    -99    -99 11041  6.356   3160 1  
    48824.8059      335    West         300       0x101bf       1.4078           -9.029  0.006    0   1   7 161   0   0   5    -99    -99 14546  5.128   3160 1  -8.774  0.007    0   1   4 142   0   0  11    -99    -99 14071  4.856   3160 1  
    48825.8063      364    West         300       0x101bf       1.3975           -8.927  0.010    0   1  23 128   0   0   5    -99    -99  8626  6.565   3160 1  -8.614  0.011    0   1  20 120   0   0  11    -99    -99  7807  6.343   3160 1  
    48828.7780      411    West         300       0x101bf       1.4637           -8.698  0.004    0   1   9 110   0   0   5    -99    -99  5789  5.147   3160 1  -8.317  0.005    0   1   9 120   0   0  11    -99    -99  4622  5.182   3160 1  
    48829.7460      442    West         300       0x101bf       1.5810           -8.645  0.006    0   1   0 114   0   0   5    -99    -99  8847  3.653   3160 1  -8.246  0.007    0   1   0 130   0   0  11    -99    -99  6716  3.538   3160 1  
    48831.7254      471    West         300       0x101bf       1.6485           -8.535  0.007    0   1  25 120   0   0   5    -99    -99  5436  6.170   3160 1  -8.131  0.009    0   1  19 129   0   0  11    -99    -99  4770  6.293   3160 1  
    48832.7229      507    West         300       0x101bf       1.6490           -8.529  0.004    0   1  10 128   0   0   5    -99    -99  5023  4.693   3160 1  -8.155  0.005    0   1   8 125   0   0  11    -99    -99  4552  4.853   3160 1  
    48834.7622      574    West         300       0x101bf       1.4611           -8.659  0.003    0   1   0 133   0   0   5    -99    -99  5049  3.862   3160 1  -8.354  0.003    0   1   0 135   0   0  11    -99    -99  4207  3.840   3160 1  
    48835.6509      638    West         300       0x101bf       2.0610           -8.717  0.006    0   1  22 119   0   0   5    -99    -99  5887  5.931   3160 1  -8.467  0.006    0   1  23 122   0   0  11    -99    -99  4715  6.124   3160 1  
    48835.7979      667    West         300       0x101bf       1.3455           -8.720  0.006    0   1  26 135   0   0   5    -99    -99  4570  6.181   3160 1  -8.473  0.006    0   1  22 138   0   0  11    -99    -99  2880  6.287   3160 1  
    48836.7506      740    West         300       0x101bf       1.4822           -8.833  0.011    0   1   0 125   0   0   5    -99    -99 10685  3.985   3160 1  -8.622  0.012   -8   1   0 126   0   0  11    -99    -99 10126  3.882   3160 1  
    48841.7381      764    West         300       0x101bf       1.4727           -9.350  0.002    0  41   2 193   0   0   5    -99    -99  5519  3.892   3160 1  -9.269  0.002    0   1   0 195   0   0  11    -99    -99  4133  3.795   3160 1  
    48842.7788      801    West         300       0x101bf       1.3407           -9.419  0.002    0   1   2 130   0   0   5    -99    -99  5096  4.506   3160 1  -9.301  0.002    0   1   6 157   0   0  11    -99    -99  4328  4.725   3160 1  
    48843.7182      836    West         300       0x101bf       1.5273           -9.450  0.003    0   1  13 148   0   0   5    -99    -99 10846  5.314   3160 1  -9.331  0.003    0   1  18 149   0   0  11    -99    -99 10594  5.585   3160 1  
    48851.7461      915    West         300       0x101bd       1.3639           -9.330  0.002    0   1   0 144   0   0   5    -99    -99  9733  4.244   3160 1  -9.131  0.003    0   1   4 156   0   0  11    -99    -99 11889  4.243   3160 1  
    48854.6634      971    West         300       0x101bf       1.6440           -9.230  0.003    0   1   8 149   0   0   5    -99    -99  7355  4.721   3160 1  -9.033  0.003    0   1   8 154   0   0  11    -99    -99  7325  4.698   3160 1  
    48855.8107     1050    West         300       0x101bf       1.2242           -9.231  0.005  -10   1  55 166   0   0   5    -99    -99  7498  3.649   3160 1  -9.022  0.003    0   1   9 194   0   0  11    -99    -99  6508  3.518   3160 1  
    48856.6967     1072    West         300       0x101bf       1.4781           -9.177  0.002    0   1   0 188   0   0   5    -99    -99  5564  3.629   3160 1  -8.982  0.002    0   1   0 146   0   0  11    -99    -99  5193  3.484   3160 1  
    48884.6902     1120    West         300       0x101bf       1.2990              -99    -99  999 999 999 999 999 999   5    -99    -99  5860  4.457   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99  5784  4.223   3160 0  
    48885.6458     1150    West         300       0x101bf       1.4041              -99    -99  999 999 999 999 999 999   5    -99    -99  4218  3.637   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99  4647  3.318   3160 0  
    48887.7678     1191    West         300       0x101bf       1.1972              -99    -99  999 999 999 999 999 999   5    -99    -99  4874  4.379   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99  4313  4.609   3160 0  
    48888.7648     1213    West         300       0x101bf       1.1972              -99    -99  999 999 999 999 999 999   5    -99    -99  4200  3.856   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99  3926  4.105   3160 0  
    48894.7699     1249    West         300       0x101bf       1.1924              -99    -99  999 999 999 999 999 999   5    -99    -99  3639  5.130   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99  3385  5.521   3160 0  
    48908.4801     1342    West         300       0x101bf       1.8877              -99    -99  999 999 999 999 999 999   5    -99    -99 21328  2.718   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99 23575  2.604   3160 0  
    48915.6347     1409    West         300       0x101bf       1.2485           -9.274  0.004    0   1  29 137   0   0   5    -99    -99  3840  6.874   3160 1  -9.019  0.005    0   1  29 132   0   0  11    -99    -99  3882  7.325   3160 1  
    48916.7362     1450    West         300       0x101bf       1.1970           -9.183  0.002    0  41  13 124   0   0   5    -99    -99  3923  4.658   3160 1  -8.969  0.003    0   1   1 139   0   0  11    -99    -99  3864  4.842   3160 1  
    48917.5524     1469    West         300       0x101bf       1.4225           -9.221  0.002    0   1   0 242   0   0   5    -99    -99  4033  4.342   3160 1  -8.950  0.002    0   1   0 209   0   0  11    -99    -99  4497  4.011   3160 1  
    48918.7687     1519    West         300       0x101bf       1.2248              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.910  0.007  -35   1 255 161 228   0  11    -99    -99 57568  3.530   3160 1  
    48919.5894     1535    West         300       0x101bf       1.3099              -99    -99  999 999 999 999 999 999   5    -99    -99  8735  2.984   3160 0  -8.918  0.005    0  41   0 140   0   0  11    -99    -99  8179  3.081   3160 1  
    48927.5165     1614    West         300       0x00110       1.4361              -99    -99  999 999 999 999 999 999   5    -99    -99  6952  5.380   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99  6162  5.856   3160 0  
    48928.5565     1679    West         300       0x101bf       1.3285              -99    -99  999 999 999 999 999 999   5    -99    -99  5702  3.403   3160 0  -8.692  0.003    0  43   0 133   0   0  11    -99    -99  6657  3.370   3160 1  
    48929.5020     1730    West         300       0x101bf       1.4835              -99    -99  999 999 999 999 999 999   5    -99    -99  8435  4.211   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99 10192  4.178   3160 0  
    48930.6164     1795    West         300       0x101bf       1.2210           -8.790  9.999    0  47   0  67   0   0   5    -99    -99  6774  5.480   3160 1  -8.783  0.004    0   1  21 134   0   0  11    -99    -99  7731  5.617   3160 1  
    48931.5174     1815    West         300       0x101bf       1.4124              -99    -99  999 999 999 999 999 999   5    -99    -99  9322  3.997   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99 12746  4.045   3160 0  
    48933.6635     1890    West         300       0x101bf       1.1923           -9.160  0.002    0  41   0 196   0   0   5    -99    -99 10603  2.980   3160 1  -9.181  0.002   -1   1  18 203   0   0  11    -99    -99 13621  3.037   3160 1  
    48935.6605     1915    West         300       0x101bf       1.1922           -9.411  0.004  -11  43  14 189 184   0   5    -99    -99 21098  5.476   3160 1  -9.220  0.004    0   1  21 154   0   0  11    -99    -99 24976  5.676   3160 1  
    48937.7223     1946    West         300       0x101bf       1.2310              -99    -99  999 999 999 999 999 999   5    -99    -99 16147  5.286   3160 0  -9.145  0.003    0  41  21 133   0   0  11    -99    -99 17142  5.542   3160 1  
    48938.5458     1972    West         300       0x101bf       1.2927              -99    -99  999 999 999 999 999 999   5    -99    -99 13754  4.540   3160 0  -9.100  0.003    0   1   3 144   0   0  11    -99    -99 14531  4.489   3160 1  
    48939.5621     2029    West         300       0x101bf       1.2591           -9.277  0.003    0  41   3 163 153   0   5    -99    -99 13973  4.105   3160 1  -9.090  0.003    0   1   1 162   0   0  11    -99    -99 13511  4.159   3160 1  
    48941.6173     2073    West         300       0x101bf       1.1984           -9.271  0.003    3  41   1 165   0   0   5    -99    -99 11647  3.794   3160 1  -9.047  0.003    0   1   0 161   0   0  11    -99    -99 10813  3.828   3160 1  
    48947.6658     2112    West         300       0x101bf       1.2044              -99    -99  999 999 999 999 999 999   5    -99    -99  3904  5.338   3160 0  -8.926  0.004    0  41  12 156   0   0  11    -99    -99  3138  5.624   3160 1  
    48948.7180     2150    West         300       0x101bf       1.2675              -99    -99  999 999 999 999 999 999   5    -99    -99  4420  3.051   3160 0  -8.906  0.002    0  43   0 149   0   0  11    -99    -99  3315  3.138   3160 1  
    48949.5529     2171    West         300       0x101bf       1.2339           -9.160  0.002    0  41   0 151 133   0   5    -99    -99  3755  3.328   3160 1  -8.901  0.002    0   1   0 186   0   0  11    -99    -99  3961  3.354   3160 1  
    48964.7001     2193    West         300       0x101bf       1.3156              -99    -99  999 999 999 999 999 999   5    -99    -99  8337  4.738   3160 0  -8.753  0.005    0  41   4 105   0   0  11    -99    -99  7505  4.944   3160 1  
    48965.5512     2215    West         300       0x101bf       1.1992           -9.073  0.004    0   1   0 154   0   0   5    -99    -99 14766  4.043   3160 1  -8.928  0.005    0   1   0 157   0   0  11    -99    -99 15722  4.356   3160 1  
    48966.5419     2261    West         300       0x101bf       1.2028           -9.164  0.003    0   1   0 120   0   0   5    -99    -99 13871  3.507   3160 1  -9.067  0.003    0   1   0 150   0   0  11    -99    -99 14412  3.617   3160 1  
    48984.5468     2348    West         300       0x101bf       1.1949              -99    -99  999 999 999 999 999 999   5    -99    -99  2019  4.428   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99  2075  4.618   3160 0  
    48985.5633     2387    West         300       0x101bf       1.2042              -99    -99  999 999 999 999 999 999   5    -99    -99  2397  2.979   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99  1971  3.045   3160 0  
    48987.5709     2431    West         300       0x101bf       1.2142              -99    -99  999 999 999 999 999 999   5    -99    -99  2098  3.852   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99  1998  3.435   3160 0  
    48987.7478     2462    East         300       0x101bf       1.7276              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  14    -99    -99 23284  4.457   3160 0  
    48988.5445     2478    West         300       0x101bf       1.1983              -99    -99  999 999 999 999 999 999   5    -99    -99  2930  3.393   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99  2887  3.353   3160 0  
    48988.7368     2513    East         300       0x101bf       1.6824              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  14    -99    -99  3146  5.114   3160 0  
    48989.5599     2531    West         300       0x101bf       1.2099           -8.958  0.003    0   1   0 174   0   0   5    -99    -99  3369  3.540   3160 1  -8.775  0.003    0   1   0 165   0   0  11    -99    -99  3163  3.603   3160 1  
    48996.5084     2566    West         300       0x101bf       1.1935           -9.119  0.002    0   1   0 151   0   0   5    -99    -99  8823  3.178   3160 1  -9.064  0.003    0   1   0 151   0   0  11    -99    -99 12372  3.110   3160 1  
    48998.5106     2627    West         300       0x101bf       1.1957           -9.215  0.002    0  41   0 137   0   0   5    -99    -99  4667  3.207   3160 1  -9.154  0.002    0   1   0 169   0   0  11    -99    -99  6447  3.314   3160 1  
    48998.7350     2669    East         300       0x101bf       1.8301              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  14    -99    -99  9951  4.992   3160 0  
    49000.5259     2695    West         300       0x101bf       1.2068           -9.183  0.003    0   1   2 145   0   0   5    -99    -99  3391  4.088   3160 1  -9.042  0.003    0   1   1 146   0   0  11    -99    -99  3246  4.208   3160 1  
    49001.5129     2745    West         300       0x101bf       1.2003           -9.168  0.002    0  43   0 180 171   0   5    -99    -99  2732  3.011   3160 1  -8.996  0.002    0   1   0 154   0   0  11    -99    -99  1949  2.937   3160 1  
    49001.7085     2782    East         300       0x101bf       1.7209              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  14    -99    -99  3708  4.956   3160 0  
    49002.5303     2807    West         300       0x101bf       1.2147           -9.180  0.003    0  41   0 180   0   0   5    -99    -99  3015  3.773   3160 1  -8.956  0.003    0   1   0 138   0   0  11    -99    -99  2680  3.536   3160 1  
    49006.5202     2862    West         300       0x101bf       1.2154           -9.259  0.002    0  41   0 199  67   0   5    -99    -99  2098  2.888   3160 1  -9.003  0.002    0   1   0 172   0   0  11    -99    -99  1989  2.729   3160 1  
    49006.7098     2897    East         300       0x101bf       1.8084              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  14    -99    -99  1520  5.829   3160 0  
    49007.5661     2924    West         300       0x101bf       1.2815              -99    -99  999 999 999 999 999 999   5    -99    -99  2955  4.584   3160 0  -9.027  0.003    0  41   5 206   0   0  11    -99    -99  2177  4.440   3160 1  
    49007.6906     2946    East         300       0x101bf       1.7121              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  14    -99    -99  1690  4.853   3160 0  
    49014.7102     3010    East         300       0x101bf       1.9516              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  14    -99    -99  1431  7.602   3160 0  
    49015.5206     3037    West         300       0x101bf       1.2425           -9.072  0.003    0   1   1 122   0   0   5    -99    -99  2604  4.089   3160 1  -8.804  0.003    0   1   0 134   0   0  11    -99    -99  1881  4.193   3160 1  
    49015.6381     3060    East         300       0x1019f       1.5587              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  14    -99    -99  1460  4.871   3160 0  
    49016.5463     3100    West         300       0x101bf       1.2891           -8.995  0.003    0   1   0 120   0   0   5    -99    -99  1924  3.938   3160 1  -8.686  0.003    0   1   0 123   0   0  11    -99    -99  1640  4.037   3160 1  
    49016.6729     3123    East         300       0x101bf       1.7462              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  14    -99    -99  1370  4.932   3160 0  
    49018.5510     3160    West         300       0x101bf       1.3099           -8.814  0.002    0   1   0 204   0   0   5    -99    -99  2361  2.807   3160 1  -8.462  0.003    0   1   0 169   0   0  11    -99    -99  1923  2.528   3160 1  
    49018.6744     3182    East         300       0x101bf       1.7871              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  14    -99    -99  1605  3.463   3160 0  
    49020.6127     3214    East         300       0x101bf       1.5101              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  14    -99    -99  2015  3.906   3160 0  
    49021.5293     3260    West         300       0x101bf       1.2827           -8.617  0.003    0   1   0 172   0   0   5    -99    -99  5915  2.686   3160 1  -8.247  0.003    0   1   0 150   0   0  11    -99    -99  5899  2.617   3160 1  
    49021.6579     3285    East         300       0x101bf       1.7391              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  14    -99    -99  2292  5.480   3160 0  
    49025.6387     3356    East         300       0x101bf       1.6933              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  14    -99    -99 20330  3.820   3160 0  
    49029.4963     3384    West         300       0x101bf       1.2630           -9.023  0.002    0   1   0 147   0   0   5    -99    -99  3338  3.317   3160 1  -8.858  0.002    0   1   0 151   0   0  11    -99    -99  3019  3.305   3160 1  
    49032.5144     3418    West         300       0x101bf       1.3130           -9.256  0.003    0  41   8 133 153   0   5    -99    -99  2449  4.735   3160 1  -9.119  0.003    0   1  13 141   0   0  11    -99    -99  2014  4.991   3160 1  
    49033.6171     3462    East         300       0x101bf       1.6941              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.150  0.002    0   1   0 189   0   0  14    -99    -99  1625  3.217   3160 1  
    49036.7185     3517    East         300       0x101bf       2.5675              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.198  0.003    0   1   7 172   0   0  14    -99    -99  1956  4.855   3160 1  
    49037.4828     3538    East         300       0x101bf       1.2770              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.176  0.002    0   1   0 226   0   0  14    -99    -99  1719  2.938   3160 1  
    49040.5760     3607    East         300       0x101bf       1.5864              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.153  0.003    0   1   0 127   0   0  14    -99    -99  2235  4.304   3160 1  
    49043.4888     3694    West         300       0x101bf       1.3226              -99    -99  999 999 999 999 999 999   5    -99    -99  2459  3.930   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99  1987  4.096   3160 0  
    49043.6084     3716    East         300       0x101bf       1.8021              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.087  0.003    0   1   5 130   0   0  14    -99    -99  1698  4.819   3160 1  
    49044.6781     3778    East         300       0x101bf       2.3747              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.091  0.006    0   1  31 110   0   0  14    -99    -99  1645  7.322   3160 1  
    49045.4757     3810    West         300       0x101bf       1.3060              -99    -99  999 999 999 999 999 999   5    -99    -99  2260  3.054   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99  1842  3.305   3160 0  
    49045.6123     3833    East         300       0x101bf       1.8613              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.063  0.002    0   1   0 160   0   0  14    -99    -99  1565  3.727   3160 1  
    49046.6651     3881    East         300       0x101bf       2.3014              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.056  0.007    0   1  26 120   0   0  14    -99    -99  1885  7.050   3160 1  
    49048.4695     3904    West         300       0x101bf       1.3099              -99    -99  999 999 999 999 999 999   5    -99    -99  3816  4.376   3160 0     -99    -99  999 999 999 999 999 999  11    -99    -99  3588  4.776   3160 0  
    49048.6049     3929    East         300       0x101bf       1.8663              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.975  0.003    0   1   8 142   0   0  14    -99    -99  1681  4.642   3160 1  
    49049.5289     3977    East         300       0x101bf       1.4930              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.957  0.004    0   1  15 115   0   0  14    -99    -99  4019  4.964   3160 1  
    49049.6717     4001    East         300       0x101bf       2.4455              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.957  0.005    0   1  21 130   0   0  14    -99    -99  1826  6.027   3160 1  
    49050.6707     4039    East         300       0x101bf       2.4625              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.919  0.003    0   1   0 126   0   0  14    -99    -99  1877  3.754   3160 1  
    49053.5931     4078    East         300       0x101bf       1.8787              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.836  0.004    0   1   0 144   0   0  14    -99    -99 21265  3.391   3160 1  
    49059.5220     4140    East         300       0x101bf       1.5763              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.903  0.003    0   1   1 158   0   0  14    -99    -99  3047  3.621   3160 1  
    49060.5026     4179    East         300       0x101bf       1.5064              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.978  0.003    0   1   0 138   0   0  14    -99    -99  1467  3.894   3160 1  
    49061.4849     4218    East         300       0x101bf       1.4515              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.058  0.002    0   1   0 164   0   0  14    -99    -99  1612  3.135   3160 1  
    49062.4815     4264    East         300       0x101bf       1.4490              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.077  0.003    0   1   0 140   0   0  14    -99    -99  1796  3.939   3160 1  
    49064.5831     4288    East         300       0x101bf       2.0197              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.025  0.003    0   1   4 151   0   0  14    -99    -99  1695  4.327   3160 1  
    49065.5465     4345    East         300       0x101bf       1.7896              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.981  0.002    0   1   0 146   0   0  14    -99    -99  1618  3.630   3160 1  
    49067.4891     4436    East         300       0x101bf       1.5288              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.949  0.003    0   1   7 160   0   0  14    -99    -99  1596  4.631   3160 1  
    49067.6053     4458    East         300       0x101bf       2.2758              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.975  0.004    0   1  13 169 184   0  14    -99    -99  1660  5.193   3160 1  
    49068.5316     4485    East         300       0x101bf       1.7492              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.962  0.002    0   1   0 181   0   0  14    -99    -99  1620  3.134   3160 1  
    49069.5087     4540    East         300       0x101bf       1.6421              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.990  0.003    0   1   0 126   0   0  14    -99    -99  1776  4.196   3160 1  
    49069.6226     4562    East         300       0x101bf       2.4996              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.986  0.003    0   1   0 191   0   0  14    -99    -99  1925  3.186   3160 1  
    49074.4846     4610    East         300       0x101bf       1.5908              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.992  0.004    0   1  20  97   0   0  14    -99    -99  1597  5.498   3160 1  
    49075.5543     4651    East         300       0x101bf       2.0281              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.980  0.004    0   1  10 126   0   0  14    -99    -99  1757  5.339   3160 1  
    49076.5366     4705    East         300       0x101bf       1.9186              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.965  0.004    0   1   7 130   0   0  14    -99    -99  1874  5.007   3160 1  
    49076.6457     4727    East         300       0x101bf       2.9768              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.977  0.004    0   1   1 106   0   0  14    -99    -99  2170  4.762   3160 1  
    49077.4929     4775    East         300       0x101bf       1.6714              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.924  0.005    0   1   2 144   0   0  14    -99    -99  5119  3.469   3160 1  
    49080.5612     4846    East         300       0x101bf       2.1946              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.718  0.004    0   1   0 133   0   0  14    -99    -99 10986  3.324   3160 1  
    49082.5316     4905    East         300       0x101bf       1.9993              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.514  0.014    0   1  20 125   0   0  14    -99    -99 19792  6.066   3160 1  
    49083.4696     4970    East         300       0x101bf       1.6358              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.350  0.014    0   1  23  98   0   0  14    -99    -99 21059  6.078   3160 1  
    49086.4846     5036    East         300       0x101bf       1.7597              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.188  0.006    0   1   0 129   0   0  14    -99    -99  7336  3.954   3160 1  
    49088.5308     5124    East         300       0x101bf       2.1218              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.189  0.005    0   1   0 184   0   0  14    -99    -99  3991  4.042   3160 1  
    49089.5116     5178    East         300       0x101bf       1.9932              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.242  0.004    0   1   0 169   0   0  14    -99    -99  1664  3.698   3160 1  
    49092.5507     5259    East         300       0x101bf       2.4064              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.514  0.040    5   1   3 100   0   0  14    -99    -99  2997  4.210   3160 1  
    49094.4453     5302    East         300       0x101bf       1.6668              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.001  0.002    0   1   0 212   0   0  14    -99    -99  1916  3.034   3160 1  
    49094.4557     5304    East         300       0x101bf       1.7222              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.000  0.002    0   1   0 193   0   0  14    -99    -99  1838  3.570   3160 1  
    49095.4481     5397    East         300       0x101bf       1.6961              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.134  0.002    0   1   0 133   0   0  14    -99    -99  1660  3.677   3160 1  
    49096.4444     5490    East         300       0x101bf       1.6910              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.192  0.002    0   1   0 179   0   0  14    -99    -99  1876  2.850   3160 1  
    49096.4764     5497    East         300       0x101bf       1.8815              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.194  0.002    0   1   0 193   0   0  14    -99    -99  1519  3.527   3160 1  
    49096.5508     5513    East         300       0x101bf       2.5174              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.196  0.003    0   1   0 171   0   0  14    -99    -99  1906  4.047   3160 1  
    49097.4512     5586    East         300       0x101bf       1.7425              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.230  0.002    0   1   0 134   0   0  14    -99    -99  1830  3.779   3160 1  
    49097.5840     5609    East         300       0x101bf       2.9253              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.208  0.003    0   1   0 226   0   0  14    -99    -99  2238  3.831   3160 1  
    49098.4448     5678    East         300       0x101bf       1.7223              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.218  0.002    0   1   0 182   0   0  14    -99    -99  1812  3.446   3160 1  
    49098.5534     5700    East         300       0x101bf       2.6041              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.241  0.004    0   1   0 127   0   0  14    -99    -99  2109  3.389   3160 1  
    49099.4335     5717    East         300       0x101bf       1.6760              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.219  0.003    0   1   0 146   0   0  14    -99    -99  2708  3.839   3160 1  
    49099.5391     5740    East         300       0x101bf       2.4810              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.234  0.003    0   1   0 158   0   0  14    -99    -99  2146  4.004   3160 1  
    49100.4329     5823    East         300       0x101bf       1.6869              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.252  0.003    0   1   0 196   0   0  14    -99    -99  2015  2.963   3160 1  
    49100.4785     5833    East         300       0x101bf       1.9723              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.228  0.002    0   1   0 177   0   0  14    -99    -99  2075  2.969   3160 1  
