!  Star 26.8246.1314                       RA  05 31 30.775   DEC  -71 44 48.30
#  609 observations from the production databases
#  Field inception date: 50062.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -7.958         1144.67,  566.02             21
#    Blue:            -8.093         1130.71,  542.41             90
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48885.7973     1176    West         300       0x101bf       1.2472           -7.939  0.004    0   1   0 179   0   0   3    -99    -99 14775  3.685  13479 1  -8.109  0.004    0   1   0 181   0   0  12    -99    -99 21577  3.938  13479 1  
    48908.7041     1368    West         300       0x101bf       1.2637           -7.949  0.004    0   1   0 155   0   0   3    -99    -99 14854  2.724  13479 1  -8.063  0.003    0   1   0 237   0   0  12    -99    -99 18600  2.639  13479 1  
    48908.7069     1369    West          30       0x101bf       1.2616           -7.950  0.012    0   1   0 116   0   0   3    -99    -99  1589  2.855  13479 1  -8.101  0.011    0   1   0 152   0   0  12    -99    -99  1952  2.626  13479 1  
    48917.6969     1491    West         300       0x101bf       1.2525           -7.920  0.003    0   1   0 164   0   0   3    -99    -99  3895  3.245  13479 1  -8.067  0.003    0   1   0 184   0   0  12    -99    -99  3861  3.431  13479 1  
    48919.6924     1557    West         300       0x101bf       1.2518           -7.843  0.034   28   1   0 141   0   0   3    -99    -99  9911  3.187  13479 1  -7.938  0.031   26   1   0 138   0   0  12    -99    -99  9811  3.282  13479 1  
    48927.6325     1635    West         300       0x101bf       1.2823           -7.933  0.004   -2   1  12 119   0   0   3    -99    -99  4494  4.378  13479 1  -8.017  0.004    0   1   0 220   0   0  12    -99    -99  4075  4.412  13479 1  
    48928.7165     1705    West         300       0x101bf       1.2464           -7.925  0.004    0   1   9 143   0   0   3    -99    -99  3913  4.207  13479 1  -8.059  0.004    0   1   0 167   0   0  12    -99    -99  3606  4.412  13479 1  
    48929.6175     1753    West         300       0x101bf       1.2936           -7.929  0.004   -6   1   0 135   0   0   3    -99    -99  5422  3.591  13479 1  -8.061  0.003    0   1   0 219   0   0  12    -99    -99  5633  3.726  13479 1  
    48931.6757     1848    West         300       0x101bf       1.2460           -7.943  0.003    0   1   0 136   0   0   3    -99    -99  3920  3.559  13479 1  -8.090  0.003    0   1   0 200   0   0  12    -99    -99  3872  3.830  13479 1  
    48938.6842     1994    West         300       0x101bf       1.2453           -7.973  0.005    0   1   9 131   0   0   3    -99    -99 14778  4.123  13479 1  -8.092  0.005    0   1   0 151   0   0  12    -99    -99 14484  4.325  13479 1  
    48939.7201     2053    West         300       0x00110       1.2684           -7.947  0.005    0   1  11 140   0   0   3    -99    -99 12062  4.224  13479 1  -8.096  0.004    0   1   0 148   0   0  12    -99    -99 12132  4.299  13479 1  
    48965.7403     2244    East         300       0x101bf       1.4076           -7.863  0.086    0   1   0  99   0   0   7    -99    -99 44089  3.424  13479 1  -7.689  0.085    9  41   0 103   0   0   8    -99    -99 30829  3.407  13479 1  
    48966.6668     2286    West         300       0x101bf       1.2830           -7.800  0.008   -3   1   3 104   0   0   3    -99    -99 12611  3.667  13479 1  -7.900  0.007    0   1   0 108   0   0  12    -99    -99 13151  3.907  13479 1  
    48996.6212     2590    West         300       0x101bf       1.3351           -7.968  0.005    0   1   0 164   0   0   3    -99    -99  9764  2.938  13479 1  -8.075  0.004    0   1   0 134   0   0  12    -99    -99 12895  2.868  13479 1  
    49015.7500     3082    East         300       0x101bf       2.0315           -7.987  0.007    0   1  24 105 142   0   7    -99    -99  7402  4.617  13479 1  -8.142  0.005    0   1  10 125   0   0   8    -99    -99  2374  4.891  13479 1  
    49033.7364     3481    East         300       0x101bf       2.2749              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.091  0.005    0   1 255 170 199   0   8    -99    -99  2689  3.757  13479 1  
    49037.5334     3549    East         300       0x101bf       1.3809           -7.960  0.003    0   1   0 130   0   0   7    -99    -99  2420  2.846  13479 1  -8.046  0.003    0   1   0 210   0   0   8    -99    -99  2000  2.952  13479 1  
    49043.7098     3733    East         300       0x101bf       2.2851           -7.961  0.004    0   1   0 130   0   0   7    -99    -99  3082  2.878  13479 1  -8.096  0.004    0   1   0 144   0   0   8    -99    -99  2011  3.114  13479 1  
    49044.7355     3788    East         300       0x101bf       2.5051           -7.984  0.010    0   1  28 107   0   0   7    -99    -99  2546  6.557  13479 1  -8.087  0.011    0   1  19 108   0   0   8    -99    -99  2079  7.000  13479 1  
    49044.7405     3789    East         300       0x101bf       2.5459           -7.937  0.011    0   1  29 115   0   0   7    -99    -99  2588  6.480  13479 1  -8.108  0.011    0   1  20 104   0   0   8    -99    -99  2129  6.990  13479 1  
    49049.7287     4011    East         300       0x101bf       2.5591           -7.941  0.008    0   1  29  93   0   0   7    -99    -99  2963  5.729  13479 1  -8.018  0.009    0   1  19 137 176   0   8    -99    -99  2225  6.205  13479 1  
    49050.7144     4048    East         300       0x101bf       2.4662           -7.932  0.005    0   1  12 123   0   0   7    -99    -99  2532  3.726  13479 1  -8.034  0.005    0   1   0 197   0   0   8    -99    -99  1750  3.982  13479 1  
    49068.6348     4506    East         300       0x101bf       2.2312           -7.979  0.005    0   1  10 105   0   0   7    -99    -99  2742  4.432  13479 1  -8.106  0.005    0   1   9 113   0   0   8    -99    -99  2012  4.776  13479 1  
    49080.6541     4861    East         300       0x101bf       2.6320           -7.978  0.005    0   1   0 110   0   0   7    -99    -99  8370  3.054  13479 1  -8.078  0.007    0   1   0 143  92   0   8    -99    -99 11222  3.450  13479 1  
    49094.6488     5343    East         300       0x101bf       2.8957           -7.996  0.006    0   1   0 100   0   0   7    -99    -99  3866  3.348  13479 1  -8.128  0.006    0   1   0 113   0   0   8    -99    -99  3135  3.749  13479 1  
    49097.6226     5617    East         300       0x101bf       2.7529           -7.929  0.004    0   1   0 127   0   0   7    -99    -99  3290  2.953  13479 1  -8.068  0.004    0   1   0 135   0   0   8    -99    -99  2530  3.239  13479 1  
    49108.5423     6160    East         300       0x101bf       2.3522           -7.937  0.012    0   1   0  87   0   0   7    -99    -99 13610  3.410  13479 1  -8.074  0.013    0   1   0 103   0   0   8    -99    -99 13129  3.670  13479 1  
    49111.5681     6319    East         300       0x101bf       2.6187           -7.917  0.013    0   1  20 102   0   0   7    -99    -99 15472  5.042  13479 1  -8.055  0.018    0   1  10 110   0   0   8    -99    -99 23060  5.427  13479 1  
    49120.5105     6734    East         300       0x101bf       2.3565           -7.889  0.017    0   1  37  94   0   0   7    -99    -99  3585  7.600  13479 1  -8.021  0.017    0   1  27  87   0   0   8    -99    -99  2402  8.097  13479 1  
    49124.5360     7064    East         300       0x101bf       2.6435           -7.991  0.007    0   1  21  97   0   0   7    -99    -99  3860  5.082  13479 1  -8.096  0.009    0   1 255  89 210   0   8    -99    -99  2698  5.480  13479 1  
    49125.5041     7162    East         300       0x101bf       2.4169           -7.987  0.004    0   1   0 124   0   0   7    -99    -99  3371  3.312  13479 1  -8.132  0.004    0   1   0 130   0   0   8    -99    -99  2324  3.550  13479 1  
    49134.5063     7687    East         300       0x101bf       2.6280           -7.957  0.005    0   1   4 118   0   0   7    -99    -99  4516  3.780  13479 1  -8.117  0.005    0   1   0 118   0   0   8    -99    -99  3074  4.132  13479 1  
    49143.4821     8059    East         300       0x101bf       2.6304           -7.979  0.011    0   1   9  85   0   0   7    -99    -99 20726  4.564  13479 1  -8.102  0.013    0   1   8  83 180   0   8    -99    -99 19490  5.035  13479 1  
    49152.4713     8433    East         300       0x101bf       2.7395           -7.964  0.007    0   1  18  96   0   0   7    -99    -99  3060  4.970  13479 1  -8.072  0.008    0   1   6  95 194   0   8    -99    -99  2302  5.410  13479 1  
    49163.4468     8939    East         300       0x101bf       2.7807           -7.975  0.004    0   1   0 136   0   0   7    -99    -99  4691  2.891  13479 1  -8.116  0.005    0   1   0 136   0   0   8    -99    -99  3928  3.219  13479 1  
    49180.8395     9661    West         300       0x101bf       1.4886           -7.957  0.011    0   1  13 102   0   0   3    -99    -99  6899  4.760  13479 1  -8.060  0.010    0   1   0 101   0   0  12    -99    -99  5997  4.931  13479 1  
    49188.8371    10187    West         300       0x101bf       1.4315           -7.935  0.032    0   1  24 104   0   0   3    -99    -99 12023  5.484  13479 1  -8.047  0.017    0   1  13  99   0   0  12    -99    -99  2823  5.652  13479 1  
    49203.7618    10741    West         300       0x101bf       1.5402           -7.937  0.006    0   1  11 102   0   0   3    -99    -99  7081  3.825  13479 1  -8.072  0.007    0   1   0 104   0   0  12    -99    -99 10892  3.824  13479 1  
    49210.8002    11150    West         300       0x101bf       1.3781           -7.959  0.004    0   1   0 113   0   0   3    -99    -99  3033  3.375  13479 1  -8.102  0.004    0   1   0 140   0   0  12    -99    -99  2511  3.348  13479 1  
    49224.7568    11975    West         300       0x101bf       1.3904           -7.945  0.004    0   1   0 120   0   0   3    -99    -99  2306  3.018  13479 1  -8.062  0.004    0   1   0 129   0   0  12    -99    -99  2369  2.790  13479 1  
    49233.7177    12107    West         300       0x101bf       1.4261           -7.920  0.008    0   1  24 101   0   0   3    -99    -99  5753  4.928  13479 1  -8.025  0.008    0   1   7  99   0   0  12    -99    -99  9391  4.714  13479 1  
    49254.7495    12203    West         300       0x101bf       1.2720           -7.936  0.004    0   1   2 130   0   0   3    -99    -99  2341  3.632  13479 1  -8.083  0.004    0   1   0 155   0   0  12    -99    -99  2157  3.745  13479 1  
    49257.6874    12419    West         300       0x101bf       1.3477           -7.935  0.003    0   1   0 193   0   0   3    -99    -99  5089  2.400  13479 1  -8.060  0.003    0   1   0 163   0   0  12    -99    -99  8279  2.099  13479 1  
    49270.7183    12822    West         300       0x101bf       1.2614           -7.993  0.006    0   1  22  91   0   0   3    -99    -99  2520  5.452  13479 1  -8.102  0.006    0   1   9 158   0   0  12    -99    -99  2565  5.433  13479 1  
    49283.6016    13094    West         300       0x101bf       1.3771           -7.971  0.004    0   1   0 132   0   0   3    -99    -99  3762  2.959  13479 1  -8.109  0.004    0   1   0 136   0   0  12    -99    -99  4270  2.820  13479 1  
    49289.7015    13294    West         300       0x101bf       1.2453           -7.992  0.005    0   1  10 129   0   0   3    -99    -99  6922  3.870  13479 1  -8.139  0.005    0   1   0 119   0   0  12    -99    -99 10884  3.965  13479 1  
    49307.6431    13479    West         300       0x101bf       1.2477           -7.965  0.003    0   1   0 150   0   0   3    -99    -99  1976  2.352  13479 1  -8.094  0.003    0   1   0 149   0   0  12    -99    -99  2100  2.432  13479 1  
    49312.6313    13648    West         300       0x100bf       1.2471           -7.999  0.004    0   1   0 114   0   0   3    -99    -99  2302  3.972  13479 1  -8.153  0.004    0   1   0 124   0   0  12    -99    -99  1711  4.344  13479 1  
    49317.6222    13835    West         300       0x101bf       1.2459           -7.986  0.003    0   1   0 129   0   0   3    -99    -99  5412  2.529  13479 1  -8.134  0.003    0   1   0 133   0   0  12    -99    -99  7471  2.629  13479 1  
    49375.6672    14014    East         300       0x101bf       1.5513           -8.024  0.005    0   1  22 132   0   0   7    -99    -99  2777  4.079  13479 1  -8.201  0.004    0   1   5 138   0   0   8    -99    -99  2041  4.250  13479 1  
    49380.6720    14233    East         300       0x101bf       1.6219           -7.964  0.007    0   1   6 123   0   0   7    -99    -99 16036  3.601  13479 1  -8.109  0.008    0   1   0 127   0   0   8    -99    -99 21657  3.672  13479 1  
    49398.6494    14548    East         300       0x101bf       1.7383              -99    -99  999 999 999 999 999 999   7    -99    -99  2780  3.204  13479 0  -8.181  0.003    0   1   0 153   0   0   8    -99    -99  2009  3.328  13479 1  
    49405.7282    14713    East         300       0x100bf       2.3522              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.163  0.004    0   1   0 113   0   0   8    -99    -99  2784  3.600  13479 1  
    49406.7547    14759    East         300       0x101bf       2.5838              -99    -99  999 999 999 999 999 999   7    -99    -99  3326  3.464  13479 0  -8.153  0.005    0   1   0 136 126   0   8    -99    -99  2635  3.811  13479 1  
    49409.6629    14833    East         300       0x100bf       1.9750              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.259  0.011   35   1  13 140   0   0   8    -99    -99 30672  4.753  13479 1  
    49415.7167    15032    East         300       0x101bf       2.4746              -99    -99  999 999 999 999 999 999   7    -99    -99  6131  4.682  13479 0  -8.199  0.007    0   1   0 105 186   0   8    -99    -99  4494  4.982  13479 1  
    49428.6622    15408    East         300       0x101bf       2.3337              -99    -99  999 999 999 999 999 999   7    -99    -99  2975  4.866  13479 0  -8.226  0.005    0   1   9 123 144   0   8    -99    -99  2366  5.271  13479 1  
    49446.6247    15928    East         300       0x001bf       2.4228           -8.106  0.005    0   1   0 108   0   0   7    -99    -99  3842  3.748  13479 1  -8.266  0.005    0   1   0 119   0   0   8    -99    -99  3281  4.092  13479 1  
    49450.6339    16215    East         300       0x101bf       2.5822           -8.055  0.004    0   1   0 136   0   0   7    -99    -99  4053  3.136  13479 1  -8.138  0.005    0   1   0 178   0   0   8    -99    -99  3535  3.488  13479 1  
    49465.6220    16870    East         300       0x101bf       2.8151           -8.007  0.006    0   1   0 104   0   0   7    -99    -99 12143  3.301  13479 1  -8.150  0.008    0   1   0  97 127   0   8    -99    -99 20020  3.782  13479 1  
    49478.5842    17475    East         300       0x101bf       2.8005           -8.062  0.004    0   1   0 120   0   0   7    -99    -99  3819  3.118  13479 1  -8.192  0.005    0   1   0 126 204   0   8    -99    -99  2946  3.500  13479 1  
    49485.5594    17832    East         300       0x101bf       2.7549           -8.085  0.006    0   1  19 107   0   0   7    -99    -99  3945  4.888  13479 1  -8.225  0.007    0   1  11 103 187   0   8    -99    -99  2667  5.305  13479 1  
    49489.5180    18158    East         300       0x101bf       2.5083           -8.043  0.017    0   1  31  95   0   0   7    -99    -99  4222  6.918  13479 1  -8.190  0.018    0   1  23  90 172   0   8    -99    -99  3318  7.341  13479 1  
    49496.5452    18392    East         300       0x101bf       2.8807           -8.058  0.019    0   1  32  95   0   0   7    -99    -99 23669  6.561  13479 1  -8.203  0.023    0   1  21  97   0   0   8    -99    -99 26514  7.007  13479 1  
    49498.5408    18482    East         300       0x101bf       2.8889           -8.043  0.046   -1   1  43  86   0   0   7    -99    -99 20864  8.250  13479 1  -8.171  0.053    0   1  31  95   0   0   8    -99    -99 19671  8.716  13479 1  
    49509.5112    18833    East         300       0x101bf       2.8938           -8.077  0.004    0   1   0 156   0   0   7    -99    -99  2848  2.784  13479 1  -8.228  0.004    0   1   0 131   0   0   8    -99    -99  2545  3.084  13479 1  
    49537.4460    20072    East         300       0x001bf       2.9774              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    49540.4417    20349    East         300       0x001bf       3.0063           -8.111  0.005    0   1  16 107   0   0   7    -99    -99  3397  4.159  13479 1  -8.248  0.005    0   1   6 118 184   0   8    -99    -99  2548  4.597  13479 1  
    49549.7831    20942    West         300       0x101bf       1.6604           -8.098  0.006    0   1  26 105   0   0   3    -99    -99  2381  5.297  13479 1  -8.236  0.005    0   1   8 103   0   0  12    -99    -99  2026  5.002  13479 1  
    49557.3968    21420    East         300       0x101bf       3.0169           -8.076  0.023  -19   1   0 106   0   0   7    -99    -99 19694  3.305  13479 1  -8.249  0.025  -42   1   0  91 179   0   8    -99    -99 14852  3.729  13479 1  
    49577.7304    22632    West         300       0x101bf       1.5656           -8.041  0.006    0   1  23  95   0   0   3    -99    -99  2118  5.358  13479 1  -8.211  0.006    0   1   5 100   0   0  12    -99    -99  2023  5.428  13479 1  
    49580.7599    22890    West         300       0x101bf       1.4452           -8.080  0.004    0   1   0 124   0   0   3    -99    -99  2559  2.830  13479 1  -8.231  0.004    0   1   0 117   0   0  12    -99    -99  2686  2.858  13479 1  
    49598.7393    23836    West         300       0x001bf       1.3754           -8.066  0.004    0   1   4 103   0   0   3    -99    -99  1988  3.872  13479 1  -8.211  0.004    0   1   0 186   0   0  12    -99    -99  2219  3.802  13479 1  
    49610.7284    24440    West         300       0x101bf       1.3329           -8.044  0.006    0   1  17 114   0   0   3    -99    -99  2645  4.669  13479 1  -8.157  0.005    0   1   6 108   0   0  12    -99    -99  2310  4.770  13479 1  
    49618.7400    24878    West         300       0x101bf       1.2847           -8.010  0.006    0   1   6  95   0   0   3    -99    -99  4987  3.914  13479 1  -8.144  0.006    0   1   0 145   0   0  12    -99    -99  5774  4.010  13479 1  
    49634.7150    25515    West         300       0x101bf       1.2662           -7.938  0.004    0   1   0 113   0   0   3    -99    -99  1923  3.153  13479 1  -8.062  0.004    0   1   0 126   0   0  12    -99    -99  1933  3.180  13479 1  
    49648.6733    26037    West         300       0x101af       1.2692           -7.940  0.004    0   1   0 158   0   0   3    -99    -99  4695  2.283  13479 1  -7.945  0.004    0   1   0 253   0   0  12    -99    -99  4760  2.124  13479 1  
    49666.6807    26366    West         300       0x101bf       1.2442           -7.932  0.003    0   1   0 120   0   0   3    -99    -99  1664  2.476  13479 1  -8.032  0.003    0   1   0 147   0   0  12    -99    -99  1630  2.412  13479 1  
    49690.6925    26824    West         300       0x101bf       1.2915           -8.034  0.003    0   1   0 205   0   0   3    -99    -99  1921  2.422  13479 1  -8.182  0.002    0   1   0 204   0   0  12    -99    -99  1736  2.340  13479 1  
    49691.7058    26883    West         300       0x101bf       1.3137           -8.086  0.003    0   1   0 138   0   0   3    -99    -99  2072  2.807  13479 1  -8.204  0.003    0   1   0 167   0   0  12    -99    -99  1851  2.798  13479 1  
    49692.7195    26944    West         300       0x101bf       1.3410           -8.070  0.003    0   1   0 118   0   0   3    -99    -99  2529  3.063  13479 1  -8.191  0.003    0   1   0 147   0   0  12    -99    -99  1864  3.108  13479 1  
    49696.6930    27060    West         300       0x101bb       1.3151           -8.074  0.003    0   1   0 139   0   0   3    -99    -99  1869  3.365  13479 1  -8.214  0.003    0   1   0 154   0   0  12    -99    -99  1622  3.366  13479 1  
    49697.7062    27122    West         300       0x101bf       1.3419           -8.090  0.003    0   1   0 146   0   0   3    -99    -99  1925  2.457  13479 1  -8.236  0.003    0   1   0 168   0   0  12    -99    -99  1664  2.435  13479 1  
    49703.5094    27294    West         300       0x101af       1.2832           -8.019  0.006    0   1   0 109   0   0   3    -99    -99 15123  3.240  13479 1  -8.156  0.005    0   1   0 117   0   0  12    -99    -99 14844  3.105  13479 1  
    49704.6922    27374    East         300       0x101bf       1.3507           -8.006  0.006    0   1   3 119   0   0   7    -99    -99 12334  3.763  13479 1  -8.170  0.005    0   1   0 121   0   0   8    -99    -99 12430  3.922  13479 1  
    49716.5644    27463    West         300       0x101bf       1.2475           -8.095  0.003    0   1   0 142  51   1   3    -99    -99  2102  3.428  13479 1  -8.246  0.003    0   1   0 133   0   0  12    -99    -99  1803  3.663  13479 1  
    49728.6035    27615    West         300       0x101bf       1.3118           -7.988  0.003    0   1   0 122   0   0   3    -99    -99  3495  2.629  13479 1  -8.125  0.003    0   1   0 145   0   0  12    -99    -99  3262  2.550  13479 1  
    49730.6894    27728    East         300       0x101bf       1.5319           -8.046  0.004    0   1   3 139   0   0   7    -99    -99  2810  3.690  13479 1  -8.208  0.003    0   1   0 131   0   0   8    -99    -99  2004  3.858  13479 1  
    49740.4489    27811    West         300       0x101bf       1.2513           -8.063  0.003    0   1   0 113   0   0   3    -99    -99  2928  3.152  13479 1  -8.211  0.003    0   1   0 119   0   0  12    -99    -99  2141  3.180  13479 1  
    49741.7535    27903    East         300       0x101bf       1.9777           -8.039  0.005    0   1   8 108   0   0   7    -99    -99  5492  3.935  13479 1  -8.194  0.005    0   1   0 104   0   0   8    -99    -99  5580  4.243  13479 1  
    49746.5926    28000    East         300       0x101bf       1.3822           -8.115  0.003    0   1   0 153   0   0   7    -99    -99  2013  2.594  13479 1  -8.246  0.003    0   1   0 151   0   0   8    -99    -99  1440  2.641  13479 1  
    49748.4425    28091    East         300       0x101bf       1.2440           -8.100  0.004    0   1   8 127   0   0   7    -99    -99  3503  3.679  13479 1  -8.228  0.004    0   1   0 128 140   0   8    -99    -99  2663  3.788  13479 1  
    49749.6042    28149    East         300       0x101bf       1.4302           -8.095  0.003    0   1   0 134   0   0   7    -99    -99  2046  2.660  13479 1  -8.212  0.003    0   1   0 150   0   0   8    -99    -99  1585  2.741  13479 1  
    49751.6784    28228    East         300       0x101bf       1.7191           -8.087  0.004    0   1   9 103   0   0   7    -99    -99  2351  3.793  13479 1  -8.175  0.004    0   1   0 224   0   0   8    -99    -99  1696  4.036  13479 1  
    49755.5339    28344    East         300       0x101bf       1.3172           -8.085  0.003    0   1   0 154   0   0   7    -99    -99  2088  2.684  13479 1  -8.253  0.003    0   1   0 143   0   0   8    -99    -99  1823  2.705  13479 1  
    49760.5940    28449    East         300       0x101bf       1.4876           -8.083  0.004    0   1   0 131   0   0   7    -99    -99  7295  2.677  13479 1  -8.230  0.003    0   1   0 133   0   0   8    -99    -99  7197  2.749  13479 1  
    49765.7175    28592    East         300       0x101bf       2.1723           -8.083  0.007    0   1  15  90   0   0   7    -99    -99  9357  4.546  13479 1  -8.222  0.009    0   1   2 107 181   0   8    -99    -99 17344  4.907  13479 1  
    49767.7681    28649    East         300       0x101bf       2.6025           -8.043  0.006    0   1  17 140   0   0   7    -99    -99  6913  4.476  13479 1  -8.190  0.007    0   1   5 130 150   0   8    -99    -99 10158  4.856  13479 1  
    49787.5888    28781    East         300       0x101bf       1.7617           -8.060  0.004    0   1   0 151   0   0   7    -99    -99  4294  3.352  13479 1  -8.211  0.004    0   1   0 132 169   0   8    -99    -99  3512  3.445  13479 1  
    49789.5994    28906    East         300       0x101bf       1.8444           -8.088  0.004    0   1   4 120   0   0   7    -99    -99  6057  3.480  13479 1  -8.215  0.004    0   1   0 127   0   0   8    -99    -99  7181  3.763  13479 1  
    49790.6175    28994    East         300       0x0013f       1.9641           -8.088  0.011    0   1   0  93   0   0   7    -99    -99 24216  2.872  13479 1  -8.206  0.011    0   1   0  94   0   0   8    -99    -99 20516  3.058  13479 1  
    49791.5813    28998    East         300       0x101bf       1.7784           -8.059  0.005    0   1   0 108   0   0   7    -99    -99  9651  3.478  13479 1  -8.195  0.006    0   1   0 109   0   0   8    -99    -99 16934  3.755  13479 1  
    49795.6170    29131    East         300       0x101bf       2.0474           -8.065  0.004    0   1   0 123   0   0   7    -99    -99  8749  3.208  13479 1  -8.212  0.005    0   1   0 112   0   0   8    -99    -99 12164  3.403  13479 1  
    49799.6323    29298    East         300       0x101bf       2.2268           -8.077  0.007    0   1  22 110   0   0   7    -99    -99  3457  5.544  13479 1  -8.168  0.007    0   1  10 157   0   0   8    -99    -99  3084  5.833  13479 1  
    49800.6947    29395    East         300       0x101bf       2.7384           -8.058  0.015    0   1  38  87   0   0   7    -99    -99  3746  7.837  13479 1  -8.165  0.017    0   1  30 104   0   0   8    -99    -99  3425  8.429  13479 1  
    49802.5472    29467    East         300       0x101bf       1.7575           -8.037  0.003    0   1   0 150   0   0   7    -99    -99  2295  2.695  13479 1  -8.152  0.003    0   1   0 150   0   0   8    -99    -99  1701  2.858  13479 1  
    49805.5564    29572    East         300       0x101bf       1.8485           -8.021  0.003    0   1   0 134   0   0   7    -99    -99  2641  2.838  13479 1  -8.146  0.004    0   1   0 132 206   0   8    -99    -99  1901  3.069  13479 1  
    49806.6698    29649    East         300       0x101bf       2.6694           -7.934  0.030    0   1  49  87   0   0   7    -99    -99  2789  9.529  13479 1  -8.094  0.029    0   1  38  88   0   0   8    -99    -99  2229 10.016  13479 1  
    49807.5606    29681    East         300       0x101bf       1.9025           -8.007  0.004    0   1   0 130   0   0   7    -99    -99  2322  3.665  13479 1  -8.148  0.004    0   1   0 120   0   0   8    -99    -99  1771  3.834  13479 1  
    49808.6632    29778    East         300       0x101bf       2.6600           -8.026  0.009    0   1  34 111   0   0   7    -99    -99  2239  6.899  13479 1  -8.134  0.010    0   1  24  94   0   0   8    -99    -99  1997  7.280  13479 1  
    49810.5729    29895    East         300       0x101bf       2.0274           -8.015  0.004    0   1   0 128   0   0   7    -99    -99  2340  3.362  13479 1  -8.141  0.004    0   1   0 114 200   0   8    -99    -99  1727  3.590  13479 1  
    49818.5577    30059    East         300       0x101bf       2.0699           -8.079  0.003    0   1   0 137   0   0   7    -99    -99  5875  2.510  13479 1  -8.195  0.004    0   1   0 134 126   1   8    -99    -99  8695  2.741  13479 1  
    49819.6205    30146    East         300       0x101bf       2.5578           -8.000  0.020   49   1  10  97   0   0   7    -99    -99 25836  3.210  13479 1  -8.107  0.023   15   1   0  82 123   0   8    -99    -99 23749  3.553  13479 1  
    49825.6064    30272    East         300       0x101bf       2.5756           -8.046  0.032    0   1  42  86   0   0   7    -99    -99 13611  8.397  13479 1  -8.161  0.033    0   1  32  88   0   0   8    -99    -99 10952  8.794  13479 1  
    49827.5473    30389    East         300       0x101bf       2.1660           -8.099  0.055   57   1   0  99   0   0   7    -99    -99 15032  3.200  13479 1  -8.089  0.055    0   1   0  86   0   0   8    -99    -99  9976  3.436  13479 1  
    49829.6062    30471    East         300       0x101bf       2.6628           -8.027  0.004    0   1   0 109   0   0   7    -99    -99  3885  2.786  13479 1  -8.169  0.004    0   1   0 132   0   0   8    -99    -99  3317  3.162  13479 1  
    49832.4846    30571    East         300       0x101bf       1.8594           -8.025  0.003    0   1   0 144   0   0   7    -99    -99  2614  2.568  13479 1  -8.160  0.003    0   1   0 139 185   0   8    -99    -99  1778  2.701  13479 1  
    49843.5446    30848    East         300       0x101bf       2.4742           -8.016  0.005    0   1  17 102   0   0   7    -99    -99  3910  4.325  13479 1  -8.158  0.005    0   1   0 110   0   0   8    -99    -99  2423  4.663  13479 1  
    49873.4248    31554    East         300       0x101af       2.1888           -7.968  0.004    0   1   0 136   0   0   7    -99    -99  4664  2.802  13479 1  -8.126  0.004    0   1   0 122 192   0   8    -99    -99  3508  2.976  13479 1  
    49880.4855    31665    East         300       0x101bf       2.8134           -7.997  0.026    0   1  37  99   0   0   7    -99    -99 22697  7.273  13479 1  -8.085  0.035    0   1  25  94 168   0   8    -99    -99 22446  7.637  13479 1  
    49888.3934    32018    East         300       0x101bf       2.2574           -7.920  0.014    0   1  33 138   0   0   7    -99    -99  4154  7.331  13479 1  -8.034  0.014    0   1  26  97   0   0   8    -99    -99  2410  7.815  13479 1  
    49890.4203    32213    East         300       0x101bf       2.5065           -7.890  0.004    0   1   0 156   0   0   7    -99    -99  5432  2.657  13479 1  -8.044  0.004    0   1   0 156   0   0   8    -99    -99  2635  2.988  13479 1  
    49890.8378    32314    West         300       0x101bf       1.7103           -7.896  0.004    0   1   0 181   0   0   3    -99    -99  7761  2.560  13479 1  -8.048  0.003    0   1   0 163   0   0  12    -99    -99  3645  2.397  13479 1  
    49922.7336    33391    West         300       0x101bf       1.7913           -7.944  0.005    0   1   3  97   0   0   3    -99    -99  2508  4.143  13479 1  -8.095  0.005    0   1   0  97   0   0  12    -99    -99  1861  4.349  13479 1  
    49932.7683    33923    West         300       0x101bf       1.5305           -7.948  0.013    0   1  21  98   0   0  -1    -99    -99   -99    -99      0 1  -8.088  0.012    0   1   7  86   0   0  12    -99    -99     0  0.000  13479 1  
    49932.7788    33924    West         300       0x0013f       1.4961           -7.942  0.007    0   1  26  93   0   0   3    -99    -99  2110  5.468  13479 1  -8.091  0.006    0   1  12  90   0   0  12    -99    -99  1709  5.641  13479 1  
    49936.6404    34161    West         300       0x101bf       2.1175           -7.930  0.006    0   1  11  99   0   0   3    -99    -99  7329  3.717  13479 1  -8.065  0.006    0   1   0  96   0   0  12    -99    -99  6733  3.737  13479 1  
